rule,q,iy,ix,dx,dy,count_comb_score,residual_comb_score
winding,32,0,23,0.734375,0.015625,2.039643234933554,0.8358476569229265
winding,32,0,24,0.765625,0.015625,2.039969731435421,0.8062843759255623
winding,32,0,25,0.796875,0.015625,2.0361461597624926,0.8192959324775457
winding,32,0,26,0.828125,0.015625,2.038300828411405,0.7913337236462428
winding,32,0,27,0.859375,0.015625,2.0410317774073103,0.801325498994681
winding,32,0,28,0.890625,0.015625,2.03653277934814,0.8014822349707558
winding,32,0,29,0.921875,0.015625,2.0358112193807862,0.830616874144471
winding,32,0,30,0.953125,0.015625,2.040511864004617,0.8962871850499529
winding,32,0,31,0.984375,0.015625,2.0376036723976614,1.0288862709417488
winding,32,1,0,0.015625,0.046875,2.0430386822989077,1.128584012367864
winding,32,1,1,0.046875,0.046875,2.0423337616657222,1.1361370607102832
winding,32,1,2,0.078125,0.046875,2.0406057267703916,1.1251462754428025
winding,32,1,3,0.109375,0.046875,2.040622358841747,1.0913050190316862
winding,32,1,4,0.140625,0.046875,2.040249200125238,1.0534702953505402
winding,32,1,5,0.171875,0.046875,2.041536769276165,1.0308802911638422
winding,32,1,6,0.203125,0.046875,2.0442465269256505,1.0531016837464868
winding,32,1,7,0.234375,0.046875,2.044657364109375,1.0167148763427394
winding,32,1,8,0.265625,0.046875,2.038845284453686,0.9925406783605015
winding,32,1,9,0.296875,0.046875,2.043082033705192,1.0001092779359146
winding,32,1,10,0.328125,0.046875,2.0382055324220993,0.9535322187369948
winding,32,1,11,0.359375,0.046875,2.0390775585896095,0.9307574549549716
winding,32,1,12,0.390625,0.046875,2.0387721136090584,0.9318736747016686
winding,32,1,13,0.421875,0.046875,2.0420773099057645,0.8978420022066449
winding,32,1,14,0.453125,0.046875,2.0450428651541075,0.8830796477236403
winding,32,1,15,0.484375,0.046875,2.047509444581744,0.9175788336417856
winding,32,1,16,0.515625,0.046875,2.0430006879530063,0.8794157918911045
winding,32,1,17,0.546875,0.046875,2.045026924182991,0.8687509784485797
winding,32,1,18,0.578125,0.046875,2.0429063377111194,0.8875876438600986
winding,32,1,19,0.609375,0.046875,2.043795713152591,0.853146718073495
winding,32,1,20,0.640625,0.046875,2.0406409314763696,0.8658342492776548
winding,32,1,21,0.671875,0.046875,2.0370986290063002,0.8617920919852126
winding,32,1,22,0.703125,0.046875,2.0399038405812893,0.8309009253023182
winding,32,1,23,0.734375,0.046875,2.0431022611255765,0.7996578677367184
winding,32,1,24,0.765625,0.046875,2.0438404292615355,0.784282811390732
winding,32,1,25,0.796875,0.046875,2.03853786844537,0.8112400330117704
winding,32,1,26,0.828125,0.046875,2.0406931284372134,0.8354189324867168
